company_name,yellowpages_url,phone,website,address,source,target_city,search_term,extracted_email,art_affinity_score,score_details,art_category
Jane Lockhart Design in Toronto,,,https://www.janelockhart.com/,,Google,"Toronto, ON",Interior Designers,media@smittencreative.com,1.0,M:1/T:0,Modern/Abstract
Toronto Interior Design Group | Timeless Residential Interiors,,,https://tidg.ca/,,Google,"Toronto, ON",Interior Designers,"hello@tidg.ca,media@tidg.ca",3.0,M:4/T:1,Modern/Abstract
Hibou Design & Co. | Interior Design Company Montreal,,,https://www.hiboudesignco.com/,,Google,"Montreal, QC",Interior Designers,"info@hiboudesignco.com,trades@hiboudesignco.com",1.0,M:1/T:0,Modern/Abstract
Montreal Interior Designer and Decorator Services,,,https://westofmaindesign.com/pages/interior-design-services-montreal,,Google,"Montreal, QC",Interior Designers,"hello@westofmaindesign.com,shoppe@westofmaindesign.com",1.0,M:1/T:0,Modern/Abstract
Interior Designers | Contemporary Architect | Home Decorator,,,https://www.ahdesignstudio.ca/montreal-interior-designers-projects,,Google,"Montreal, QC",Interior Decorators,"support@schedulista.com,8c4075d5481d476e945486754f783364@sentry.io,info@ahdesignstudio.ca",1.0,M:2/T:1,Modern/Abstract
DWK Interiors | Interior Decorating Calgary,,,https://dwkinteriors.com/,,Google,"Calgary, AB",Interior Designers,"jmacdonald@dwkinteriors.ca,hello@dwkinteriors.ca,carcuri@dwkinteriors.ca,krioux@dwkinteriors.ca",8.0,M:8/T:0,Modern/Abstract
What is a Normal Budget for Interior Design in India? - Near Me Interiors,,,"https://nearmeinteriors.com/what-is-a-normal-budget-for-interior-design-in-india/#:~:text=Interior%20designers%20in%20India%20charge,ft.",,Google,"Ottawa, ON",Interior Designers,"design@nearmeinteriors.com,info@nearmeinteriors.com",1.0,M:1/T:0,Modern/Abstract
Interior Design Studio | Leclair Decor | Ottawa | Canada | US,,,https://www.leclairdecor.com/,,Google,"Ottawa, ON",Interior Designers,"example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io",7.0,M:7/T:0,Modern/Abstract
Fenwick & Company Interior Design | Winnipeg,,,https://fenwickinteriordesign.ca/,,Google,"Winnipeg, MB",Interior Designers,info@fenwickinteriordesign.ca,4.0,M:7/T:3,Modern/Abstract
Gillian Segal Design — Interior Design Studio Vancouver,,,https://gilliansegaldesign.com/,,Google,"Vancouver, BC",Interior Designers,"theresa@gilliansegaldesign.com,LAURA@gilliansegaldesign.com,MADDIE@gilliansegaldesign.com,info@GillianSegalDesign.com,Alexandra@gilliansegaldesign.com,info@gilliansegaldesign.com,gillian@gilliansegaldesign.com,TINA@gilliansegaldesign.com,maddie@gilliansegaldesign.com,tina@gilliansegaldesign.com,THERESA@gilliansegaldesign.com,enid@gilliansegaldesign.com",4.0,M:4/T:0,Modern/Abstract
