company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Décorateur d'intérieur à Paris,https://www.createursdinterieur.com/decorateur-interieur/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France",philippe@createursdinterieur.com,1.0,M:2/T:1,Modern/Abstract
Rhinov: Votre nouvelle décoration d'intérieur en ligne,https://www.rhinov.fr/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France","exemple@mail.com,hello@rhinov.fr,dpo@rhinov.fr",11.0,M:12/T:1,Modern/Abstract
Béatrice Elisabeth Architecte d'intérieur • Neuilly Paris,https://www.beatrice-elisabeth.fr/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France",agence@beatrice-elisabeth.fr,1.0,M:1/T:0,Modern/Abstract
Décoratrice d'intérieur à Paris – Noix de Cocon,https://noixdecocon.com/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France",juliette@noixdecocon.com,1.0,M:1/T:0,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
Créateurs d'intérieurs | Architecte d'intérieur à Lyon,https://www.architectes-interieur-lyon.com/,Google,Architecte d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France",philippe@createursdinterieur.com,1.0,M:6/T:5,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
Cosy Loft – Votre Architecte d'intérieur sur Lyon,https://www.cosyloft.fr/,Google,Architecte d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France",contact@cosyloft.fr,1.0,M:1/T:0,Modern/Abstract
Créateurs d'intérieurs | Architecte d'intérieur à Lyon,https://www.architectes-interieur-lyon.com/,Google,Décorateur d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France",philippe@createursdinterieur.com,1.0,M:6/T:5,Modern/Abstract
Beaux Intérieurs: Architecte d'intérieur à Toulouse,https://www.beauxinterieurs.com/,Google,Architecte d'intérieur,"Toulouse, Occitanie, France","stage@beauxinterieurs.com,contact@beauxinterieurs.com",1.0,M:2/T:1,Modern/Abstract
Cindy Petitprez | Architecte d'intérieur à Toulouse,https://www.cindypetitprez.com/,Google,Architecte d'intérieur,"Toulouse, Occitanie, France",contact@cindypetitprez.com,1.0,M:1/T:0,Modern/Abstract
Fées des rêves | Architecte d'intérieur et décoratrice à ...,https://www.feesdesreves.com/,Google,Architecte d'intérieur,"Toulouse, Occitanie, France","stephanie@feesdesreves.com,contact@feesdesreves.com,louise@feesdesreves.com,andrea@feesdesreves.com,claire@feesdesreves.com",2.0,M:2/T:0,Modern/Abstract
Architecte d'intérieur Toulouse (31) Sophie Bannwart,https://www.architecte-interieur-toulouse-sophie-bannwart.com/,Google,Architecte d'intérieur,"Toulouse, Occitanie, France",sophie.banwart@sfr.fr,1.0,M:1/T:0,Modern/Abstract
Architecte d'intérieur Toulouse et Lauragais - domho.me,https://www.domho-me.com/,Google,Architecte d'intérieur,"Toulouse, Occitanie, France",studio@domho-me.com,1.0,M:3/T:2,Modern/Abstract
Fées des rêves | Architecte d'intérieur et décoratrice à ...,https://www.feesdesreves.com/,Google,Décorateur d'intérieur,"Toulouse, Occitanie, France","stephanie@feesdesreves.com,contact@feesdesreves.com,louise@feesdesreves.com,andrea@feesdesreves.com,claire@feesdesreves.com",2.0,M:2/T:0,Modern/Abstract
Architecte d'intérieur Toulouse - Agence Decod'Art Design,https://www.decodart-design.com/,Google,Décorateur d'intérieur,"Toulouse, Occitanie, France",,1.0,M:1/T:0,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Nice, Provence-Alpes-Côte d'Azur, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
MMCC ARCHITECTE - AGENCE ARCHITECTURE ET ...,https://www.mmcc-architecture.com/,Google,Architecte d'intérieur,"Nice, Provence-Alpes-Côte d'Azur, France",contact@mmcc-architecture.com,4.0,M:4/T:0,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Nantes, Pays de la Loire, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
Décoration d'intérieur à Nantes - Pays de la Loire | DECO,https://www.decolabdesign.com/,Google,Décorateur d'intérieur,"Nantes, Pays de la Loire, France","8c4075d5481d476e945486754f783364@sentry.io,contact@decolabdesign.com",1.0,M:1/T:0,Modern/Abstract
"Dékocoon – Conseil décoration intérieur, réalisation 3D ...",https://www.dekocoon.com/,Google,Décorateur d'intérieur,"Nantes, Pays de la Loire, France",,6.0,M:6/T:0,Modern/Abstract
Architecture d'intérieur à Nantes,https://morganemorazzini.com/,Google,Décorateur d'intérieur,"Nantes, Pays de la Loire, France","morganemorazzini@gmail.com,mm@morazzini.com",1.0,M:2/T:1,Modern/Abstract
Architecte d'intérieur à Montpellier,https://renovisio-architecte-interieur-montpellier.com/,Google,Architecte d'intérieur,"Montpellier, Occitanie, France",contact@renovisio.com,4.0,M:4/T:0,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Montpellier, Occitanie, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
L'Esprit Contemporain: Architecte d'intérieur Montpellier ...,https://www.espritcontemporain.fr/,Google,Architecte d'intérieur,"Montpellier, Occitanie, France",contact@esprit-contemporain.com,29.0,M:32/T:3,Modern/Abstract
"NEO DESIGN | Nadia Duffieux, Décoratrice d'intérieur ...",https://neo-designdespaces.fr/,Google,Architecte d'intérieur,"Montpellier, Occitanie, France","nadia.duffieux@gmail.com,contact@neo-designdespaces.fr",1.0,M:1/T:0,Modern/Abstract
Décoration d'intérieur et architecte à montpellier,https://lestudiovb.com/,Google,Architecte d'intérieur,"Montpellier, Occitanie, France",vivianeberti@outlook.fr,2.0,M:3/T:1,Modern/Abstract
Architecte d'intérieur Montpellier 34 - Notes de Styles,https://www.notesdestyles.com/nos-agences/architecte-dinterieur-herault/agence-notes-de-styles-montpellier/,Google,Architecte d'intérieur,"Montpellier, Occitanie, France","contact-rennes@notesdestyles.com,contact-biarritz@notesdestyles.com,contact-colmar@notesdestyles.com,contact-metz@notesdestyles.com,contact-dijon@notesdestyles.com,contact-avignon@notesdestyles.com,contact-marseille@notesdestyles.com,contact-bordeaux@notesdestyles.com,contact-saintetienne@notesdestyles.com,contact-nimes@notesdestyles.com,contact-nice@notesdestyles.com,contact-toulouse@notesdestyles.com,contact-essonne@notesdestyles.com,contact-cda@notesdestyles.com,contact-annecy@notesdestyles.com,contact-perpignan@notesdestyles.com,contact-lpev@notesdestyles.com,contact@notesdestyles.com,contact-rp@nds-enterprise.com,contact-nancy@notesdestyles.com,contact@nds-enterprise.com,contact-lyon@notesdestyles.com,contact-mlv@notesdestyles.com,contact-toulon@notesdestyles.com,contact-npdc@notesdestyles.com,contact-narbonne@notesdestyles.com,contact-montpellier@notesdestyles.com",4.0,M:6/T:2,Modern/Abstract
"NEO DESIGN | Nadia Duffieux, Décoratrice d'intérieur ...",https://neo-designdespaces.fr/,Google,Décorateur d'intérieur,"Montpellier, Occitanie, France",,1.0,M:1/T:0,Modern/Abstract
Décoration d'intérieur et architecte à montpellier,https://lestudiovb.com/,Google,Décorateur d'intérieur,"Montpellier, Occitanie, France",vivianeberti@outlook.fr,2.0,M:3/T:1,Modern/Abstract
Maeva Cendre: Décoration d'intérieur à Montpellier,https://www.maevacendre.fr/,Google,Décorateur d'intérieur,"Montpellier, Occitanie, France",cendremaeva@gmail.com,2.0,M:4/T:2,Modern/Abstract
Décor Zé Ame | Décorateur d'Intérieur Montpellier Hérault ...,https://www.decorzeame.fr/,Google,Décorateur d'intérieur,"Montpellier, Occitanie, France",,1.0,M:1/T:0,Modern/Abstract
Architecte d'intérieur Strasbourg 67 - Notes de Styles,https://www.notesdestyles.com/nos-agences/architecte-dinterieur-bas-rhin/agence-notes-de-styles-strasbourg/,Google,Architecte d'intérieur,"Strasbourg, Grand Est, France",contact@notesdestyles.com,1.0,M:5/T:4,Modern/Abstract
Eodesign: Décoratrice d'intérieur à Strasbourg & bas-rhin,https://eodesign.fr/,Google,Architecte d'intérieur,"Strasbourg, Grand Est, France",emelyne@eodesign.fr,1.0,M:1/T:0,Modern/Abstract
Prix d'un Architecte d'intérieur : Tous les tarifs - hemea,https://www.hemea.com/fr/architecture/architecte-interieur/prix,Google,Architecte d'intérieur,"Strasbourg, Grand Est, France",contact@hemea.com,3.0,M:4/T:1,Modern/Abstract
Silia Studio - Décoration et Architecture d'intérieur à Strasbourg,https://www.siliastudio.com/,Google,Architecte d'intérieur,"Strasbourg, Grand Est, France",siliastudiocontact@gmail.com,1.0,M:1/T:0,Modern/Abstract
Ka Design d'espace,https://kadesigndespace.com/,Google,Architecte d'intérieur,"Strasbourg, Grand Est, France",kadesigndespace@gmail.com,1.0,M:1/T:0,Modern/Abstract
Eodesign: Décoratrice d'intérieur à Strasbourg & bas-rhin,https://eodesign.fr/,Google,Décorateur d'intérieur,"Strasbourg, Grand Est, France",emelyne@eodesign.fr,1.0,M:1/T:0,Modern/Abstract
Architecte d'intérieur Strasbourg 67 - Notes de Styles,https://www.notesdestyles.com/nos-agences/architecte-dinterieur-bas-rhin/agence-notes-de-styles-strasbourg/,Google,Décorateur d'intérieur,"Strasbourg, Grand Est, France",contact@notesdestyles.com,1.0,M:5/T:4,Modern/Abstract
Silia Studio - Décoration et Architecture d'intérieur à Strasbourg,https://www.siliastudio.com/,Google,Décorateur d'intérieur,"Strasbourg, Grand Est, France",siliastudiocontact@gmail.com,1.0,M:1/T:0,Modern/Abstract
Mon Cocon Organisé: Décoratrice d'intérieur à Strasbourg ...,https://www.mon-cocon-organise.com/,Google,Décorateur d'intérieur,"Strasbourg, Grand Est, France",justine@mon-cocon-organise.com,2.0,M:2/T:0,Modern/Abstract
L'Atelier D.: Architecte d'intérieur à Bordeaux et Bassin ...,https://www.agence-latelierd.fr/,Google,Architecte d'intérieur,"Bordeaux, Nouvelle-Aquitaine, France",nathalie@agence-latelierd.fr,1.0,M:2/T:1,Modern/Abstract
Delphine Guyart Design - Décoratrice d'intérieur Bordeaux ...,https://www.delphineguyart.com/,Google,Décorateur d'intérieur,"Bordeaux, Nouvelle-Aquitaine, France","chambre-ado-vert-jaune-gris-h@delphineguyart.com,contact@delphineguyart.com",1.0,M:1/T:0,Modern/Abstract
L'Atelier D.: Architecte d'intérieur à Bordeaux et Bassin ...,https://www.agence-latelierd.fr/,Google,Décorateur d'intérieur,"Bordeaux, Nouvelle-Aquitaine, France",nathalie@agence-latelierd.fr,1.0,M:2/T:1,Modern/Abstract
Décorateur Architecte intérieur – Bordeaux Nansouty (33),https://mh-interior.fr/decorateur-nouvelle-aquitaine/decorateur-architecte-interieur-bordeaux-33/,Google,Décorateur d'intérieur,"Bordeaux, Nouvelle-Aquitaine, France","contact@mhdeco.fr,dor@mikado.com",1.0,M:1/T:0,Modern/Abstract
