company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Raumausstatter Berlin | ADLER Wohndesign in ...,https://www.adler-wohndesign.de/,Google,Raumausstatter,"Berlin, Berlin, Deutschland","spiger@adler-wohndesign.de,hart@adler-wohndesign.de,vogt@adler-wohndesign.de,adler@adler-wohndesign.de,drewitz@adler-wohndesign.de,info@adler-wohndesign.de",3.0,M:7/T:4,Modern/Abstract
BEESE raumgestaltung: Erstklassige Raumausstatter in Berlin,https://www.beese-raumgestaltung.de/,Google,Raumausstatter,"Berlin, Berlin, Deutschland",info@beese-raumgestaltung.de,1.0,M:2/T:1,Modern/Abstract
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",,1.0,M:1/T:0,Modern/Abstract
MAU Inneneinrichtung: Durchdachte Raumgestaltung ...,https://www.mau-inneneinrichtung.de/,Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",team@mau-inneneinrichtung.de,2.0,M:2/T:0,Modern/Abstract
Oliver Wagner: Inneneinrichtung Hamburg,https://www.oliver-wagner-inneneinrichtung.de/,Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",info@oliver-wagner-inneneinrichtung.de,1.0,M:1/T:0,Modern/Abstract
Raumgestaltung Rosenthal – Ihr Raumausstatter in Hamburg ...,https://raumgestaltung-rosenthal.com/,Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",info@raumgestaltung-rosenthal.de,2.0,M:2/T:0,Modern/Abstract
Lohnt sich ein Innenarchitekt? Alle Vorteile und Kosten im Überblick,"https://farbmut.de/innenarchitekt/#:~:text=Die%20Kosten%20f%C3%BCr%20einen%20Innenarchitekten,oder%20mehr%20f%C3%BCr%20erfahrene%20Innenarchitekten.",Google,Innenarchitekt,"München, Bayern, Deutschland",hallo@farbmut.de,1.0,M:1/T:0,Modern/Abstract
Innenarchitektur Gehalt in München 2025 - jobvector,https://www.jobvector.de/gehalt/innenarchitektur/m%C3%BCnchen/,Google,Innenarchitekt,"München, Bayern, Deutschland",,2.0,M:2/T:0,Modern/Abstract
How Much Interior Designers Cost in 2025: Online vs Local,"https://deborainteriors.com/interior-design/interior-designer-cost/#:~:text=time%20is%20uncertain.-,Flat%20Fees,can%20exceed%20%2410%2C000%20per%20room.",Google,Innenarchitekt,"München, Bayern, Deutschland",info@deborainteriors.com,1.0,M:1/T:0,Modern/Abstract
Design darf leicht sein - Innenarchitektur München,https://www.innenarchitektur-federleicht.de/,Google,Innenarchitekt,"München, Bayern, Deutschland",office@innenarchitektur-federleicht.de,1.0,M:1/T:0,Modern/Abstract
Manuela Bross - Innenarchitektur - Manuela Bross ...,https://www.manuelabross.de/,Google,Innenarchitekt,"München, Bayern, Deutschland",info@manuelabross.de,3.0,M:3/T:0,Modern/Abstract
eswerderaum: Innenarchitekt in München - Andreas Ptatscheck,https://www.eswerderaum.de/,Google,Innenarchitekt,"München, Bayern, Deutschland","info@eswerderaum.de,name@beispiel.de",6.0,M:9/T:3,Modern/Abstract
