company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Interioristas Madrid - Rosario Lopez Interiorismo,https://rosariolopez.es/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",info@rosariolopez.es,5.0,M:5/T:0,Modern/Abstract
Decoradores e Interioristas en Madrid | Diseñadores Top,https://luciahidalgointeriorismo.com/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",hola@luciahidalgointeriorismo.com,7.0,M:8/T:1,Modern/Abstract
Interioristas Madrid - Rosario Lopez Interiorismo,https://rosariolopez.es/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",info@rosariolopez.es,5.0,M:5/T:0,Modern/Abstract
Decoradores e Interioristas en Madrid | Diseñadores Top,https://luciahidalgointeriorismo.com/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",hola@luciahidalgointeriorismo.com,7.0,M:8/T:1,Modern/Abstract
¿Qué es y cuales son las funciones de un interiorista? - Interni Esterni,https://www.ie2.es/que-es-y-cuales-son-las-funciones-de-un-interiorista/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",info@ie2.es,2.0,M:2/T:0,Modern/Abstract
Interioristas Madrid - Rosario Lopez Interiorismo,https://rosariolopez.es/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",,5.0,M:5/T:0,Modern/Abstract
Estudio de interiorismo y decoración en Madrid 【Dimensi-on】,https://www.dimensi-on.com/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",info@dimensi-on.com,1.0,M:1/T:0,Modern/Abstract
Coblonal: Estudio de Interiorismo en Barcelona,https://coblonal.com/,Google,Diseñador de interiores,"Barcelona, Cataluña, España","info@coblonal.com,trabajaconnosotros@coblonal.com",1.0,M:1/T:0,Modern/Abstract
Xavier Gero Interiorismo: Decoradores de interiores en ...,https://www.xaviergero.com/,Google,Diseñador de interiores,"Barcelona, Cataluña, España",interiorisme@xaviergero.com,61.0,M:61/T:0,Modern/Abstract
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,https://estudioromanelli.es/,Google,Diseñador de interiores,"Barcelona, Cataluña, España",info@estudioromanelli.es,4.0,M:11/T:7,Modern/Abstract
Xavier Gero Interiorismo: Decoradores de interiores en ...,https://www.xaviergero.com/,Google,Decorador de interiores,"Barcelona, Cataluña, España",interiorisme@xaviergero.com,61.0,M:61/T:0,Modern/Abstract
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,https://estudioromanelli.es/,Google,Decorador de interiores,"Barcelona, Cataluña, España",info@estudioromanelli.es,4.0,M:11/T:7,Modern/Abstract
Coblonal: Estudio de Interiorismo en Barcelona,https://coblonal.com/,Google,Interiorista,"Barcelona, Cataluña, España","info@coblonal.com,trabajaconnosotros@coblonal.com",1.0,M:1/T:0,Modern/Abstract
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,https://estudioromanelli.es/,Google,Interiorista,"Barcelona, Cataluña, España",info@estudioromanelli.es,4.0,M:11/T:7,Modern/Abstract
Xavier Gero Interiorismo: Decoradores de interiores en ...,https://www.xaviergero.com/,Google,Interiorista,"Barcelona, Cataluña, España",interiorisme@xaviergero.com,61.0,M:61/T:0,Modern/Abstract
Estudio interiorismo Valencia. Decoradores de interiores ...,https://nonnadesign.com/,Google,Diseñador de interiores,"Valencia, Comunidad Valenciana, España",nonna@nonnadesign.com,2.0,M:2/T:0,Modern/Abstract
Estudio interiorismo Valencia. Decoradores de interiores ...,https://nonnadesign.com/,Google,Decorador de interiores,"Valencia, Comunidad Valenciana, España",nonna@nonnadesign.com,2.0,M:2/T:0,Modern/Abstract
Estudio interiorismo Valencia. Decoradores de interiores ...,https://nonnadesign.com/,Google,Interiorista,"Valencia, Comunidad Valenciana, España",nonna@nonnadesign.com,2.0,M:2/T:0,Modern/Abstract
¿Qué es y cuales son las funciones de un interiorista? - Interni Esterni,https://www.ie2.es/que-es-y-cuales-son-las-funciones-de-un-interiorista/,Google,Interiorista,"Valencia, Comunidad Valenciana, España",info@ie2.es,2.0,M:2/T:0,Modern/Abstract
¿Cuánto cuesta el diseño de interiores? Precios en 2025,"https://www.cronoshare.com/cuanto-cuesta/diseno-interiores#:~:text=El%20precio%20por%20hora%20de,precios%20desde%2015%20%E2%82%AC%2Fm2.",Google,Diseñador de interiores,"Sevilla, Andalucía, España","collection@infegy.com,cronoshare@cronoshare.com",1.0,M:1/T:0,Modern/Abstract
Estudio de interioristas en Sevilla,https://rosariolopez.es/interiorismo-en-sevilla/,Google,Diseñador de interiores,"Sevilla, Andalucía, España",info@rosariolopez.es,6.0,M:7/T:1,Modern/Abstract
Saco Espacios: Estudio de interiorismo en Sevilla,https://sacoespacios.com/,Google,Diseñador de interiores,"Sevilla, Andalucía, España",info@sacoespacios.es,1.0,M:1/T:0,Modern/Abstract
Estudio de interioristas en Sevilla,https://rosariolopez.es/interiorismo-en-sevilla/,Google,Decorador de interiores,"Sevilla, Andalucía, España",info@rosariolopez.es,6.0,M:7/T:1,Modern/Abstract
Estudio de interiorismo en Sevilla | 20 años diseñando,https://www.interiorismoconceptual.com/,Google,Decorador de interiores,"Sevilla, Andalucía, España",info@interiorismoconceptual.com,2.0,M:2/T:0,Modern/Abstract
Interiorismo Sevilla - mariasotointeriorista.com,https://mariasotointeriorista.com/,Google,Decorador de interiores,"Sevilla, Andalucía, España","mariasoto.interiorista@gmail.com,mariainteriorista@gmail.com",1.0,M:1/T:0,Modern/Abstract
Estudio de interiorismo en Sevilla | 20 años diseñando,https://www.interiorismoconceptual.com/,Google,Interiorista,"Sevilla, Andalucía, España",info@interiorismoconceptual.com,2.0,M:2/T:0,Modern/Abstract
¿Cuánto cuesta el diseño de interiores? Precios en 2025,"https://www.cronoshare.com/cuanto-cuesta/diseno-interiores#:~:text=El%20precio%20por%20hora%20de,precios%20desde%2015%20%E2%82%AC%2Fm2.",Google,Interiorista,"Sevilla, Andalucía, España","collection@infegy.com,cronoshare@cronoshare.com",1.0,M:1/T:0,Modern/Abstract
Estudio de interioristas en Sevilla,https://rosariolopez.es/interiorismo-en-sevilla/,Google,Interiorista,"Sevilla, Andalucía, España",info@rosariolopez.es,6.0,M:7/T:1,Modern/Abstract
Saco Espacios: Estudio de interiorismo en Sevilla,https://sacoespacios.com/,Google,Interiorista,"Sevilla, Andalucía, España",info@sacoespacios.es,1.0,M:1/T:0,Modern/Abstract
Paula Zarzuela: Diseño de Interiores en Zaragoza,https://paulazarzuela.com/,Google,Diseñador de interiores,"Zaragoza, Aragón, España",hola@paulazarzuela.com,1.0,M:1/T:0,Modern/Abstract
Eva Monge – Diseño de Interiores | Interiorista Zaragoza,https://www.evamonge.com/,Google,Diseñador de interiores,"Zaragoza, Aragón, España",hola@evamonge.com,5.0,M:5/T:0,Modern/Abstract
Interiorismo Zaragoza - Punto y Seguido - Decoración de ...,https://puntoyseguidoestudio.com/,Google,Diseñador de interiores,"Zaragoza, Aragón, España","info@puntoyseguidoestudio.com.Igualmente,info@puntoyseguidoestudio.com,51info@puntoyseguidoestudio.com",1.0,M:1/T:0,Modern/Abstract
