company_name,yellowpages_url,phone,website,address,source,extracted_email,target_city,search_term,art_affinity_score,score_details,art_category
Mackenzie Collier Interiors,https://www.yellowpages.com/phoenix-az/mip/mackenzie-collier-interiors-551654485,(602) 529-2191,https://mackenziecollierinteriors.com,"734 W Polk St, Phoenix, AZ 85007",YellowPages,"heythere@mackenziecollierinteriors.com, user@domain.com, press@mackenziecollierinteriors.com, mackenzie.collier@gmail.com, studio@mackenziecollierinteriors.com","Phoenix, AZ",Interior Designers,2.0,M:2/T:0,Modern/Abstract
Gensler,https://www.yellowpages.com/phoenix-az/mip/gensler-559407643,(602) 523-4900,https://www.gensler.com/offices/phoenix,"2575 E Camelback Rd, Phoenix, AZ 85016",YellowPages,"jay_silverberg@gensler.com, rory_carder@gensler.com, john_adams@gensler.com, kevin_heinly@gensler.com, martha_abbott@gensler.com, andy_cohen@gensler.com","Phoenix, AZ",Interior Designers,1.0,M:2/T:1,Modern/Abstract
Marsha Sewell & Associates,https://www.yellowpages.com/san-diego-ca/mip/marsha-sewell-associates-502635,(619) 696-7575,http://www.marshasewell.com,"631 5th Ave, San Diego, CA 92101",YellowPages,marsha@marshasewell.com,"San Diego, CA",Interior Designers,2.0,M:4/T:2,Modern/Abstract
ViVo Design Studios,https://www.yellowpages.com/san-diego-ca/mip/vivo-design-studios-495337153,(619) 573-2241,http://www.vivodesignstudios.com,"4614 47th st, San Diego, CA 92115",YellowPages,"lily@vivodesignstudios.com, user@domain.com","San Diego, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
REMCON Design Build,https://www.yellowpages.com/san-diego-ca/mip/remcon-design-build-546859091,(858) 371-5330,https://www.remcondesignbuild.com,"7154 Convoy Ct, San Diego, CA 92111",YellowPages,info@remcondesignbuild.com,"San Diego, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Altered Decor,https://www.yellowpages.com/san-diego-ca/mip/altered-decor-551812996,(619) 961-3639,https://altereddecor.com/account,"1227 J St, San Diego, CA 92101",YellowPages,"info@altereddecor.com, abuse@company.site","San Diego, CA",Interior Designers,2.0,M:2/T:0,Modern/Abstract
Aesthetics,https://www.yellowpages.com/san-diego-ca/mip/aesthetics-5676551,(619) 683-7512,http://aesthetics.net,"301 Spruce St, San Diego, CA 92103",YellowPages,marketing@aesthetics.net,"San Diego, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Woodbridge Interiors,https://www.yellowpages.com/san-diego-ca/mip/woodbridge-interiors-474574837,(858) 578-4900,https://www.woodbridgeinteriors.com/california-locations.inc,"7480 Miramar Rd, San Diego, CA 92126",YellowPages,"missionvalley@woodbridgeinteriors.com, sanmarcos@woodbridgeinteriors.com, miramar@woodbridgeinteriors.com","San Diego, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
House and Harmony Interior Design Studio,https://www.yellowpages.com/san-diego-ca/mip/house-and-harmony-interior-design-studio-565858046,(858) 432-6800,https://www.houseandharmony.com,"7550 Miramar Road 205, San Diego, CA 92126",YellowPages,"chris@cornerstoneseo.com, info@houseandharmony.com","San Diego, CA",Interior Designers,12.0,M:15/T:3,Modern/Abstract
Solutions Office Interiors,https://www.yellowpages.com/san-jose-ca/mip/solutions-office-interiors-456214598,(408) 295-0101,http://www.expectsolutions.com,"1460 Mabury Rd, San Jose, CA 95133",YellowPages,info@expectsolutions.com,"San Jose, CA",Interior Designers,4.0,M:5/T:1,Modern/Abstract
Pivot Interiors Inc,https://www.yellowpages.com/san-jose-ca/mip/pivot-interiors-inc-491098817,(408) 437-0277,http://pivotinteriors.com,"61 Metro Dr, San Jose, CA 95110",YellowPages,"info@pivotinteriors.com, hello@mightyinthemidwest.com","San Jose, CA",Interior Designers,3.0,M:3/T:0,Modern/Abstract
Scented Designs,https://www.yellowpages.com/san-jose-ca/mip/scented-designs-572958452,(408) 386-0342,http://www.scenteddesigns.com,"2306 Boxwood Dr, San Jose, CA 95128",YellowPages,hello@scenteddesigns.com,"San Jose, CA",Interior Designers,1.0,M:1/T:0,Modern/Abstract
Desert Dreams,https://www.yellowpages.com/austin-tx/mip/desert-dreams-21909015?lid=1002184173070,(737) 381-3149,https://desertdreamsaustin.com,"10900 Ranch Road 2222, Ste A, Austin, TX 78730",YellowPages,"ddaustin2222@gmail.com, info@ndiscovered.com","Austin, TX",Interior Decorators,2.0,M:2/T:0,Modern/Abstract
Noland & Associates LLC,https://www.yellowpages.com/charlotte-nc/mip/noland-associates-llc-21783524,(704) 562-5137,http://nolandassociates.com,"265 Crownsgate Ct, Charlotte, NC 28207",YellowPages,info@nolandassociates.com,"Charlotte, NC",Interior Designers,1.0,M:3/T:2,Modern/Abstract
"Stacy Nicole Interiors, Inc.",https://www.yellowpages.com/charlotte-nc/mip/stacy-nicole-interiors-inc-476945808,(919) 650-6401,https://www.stacynicole.com,"1515 Mockingbird Ln Ste 420, Charlotte, NC 28209",YellowPages,"billing@stacynicole.com, hello@stacynicole.com","Charlotte, NC",Interior Designers,6.0,M:8/T:2,Modern/Abstract
Modern Property Design,https://www.yellowpages.com/washington-dc/mip/modern-property-design-520607477,(202) 374-4803,http://www.modernpropertydesign.com,"734 Butternut St NW, Washington, DC 20012",YellowPages,"example@mysite.com, 8c4075d5481d476e945486754f783364@sentry.io, rosslynsnowden@modernpropertydesign.com","Washington, DC",Interior Designers,4.0,M:4/T:0,Modern/Abstract
Maryland Office Interiors,https://www.yellowpages.com/washington-dc/mip/maryland-office-interiors-934673,(202) 628-4848,https://www.moii.com,"1405 G St NW, Washington, DC 20005",YellowPages,"info@moii.com, hello@mightyinthemidwest.com","Washington, DC",Interior Designers,3.0,M:3/T:0,Modern/Abstract
Holland & Sherry,https://www.yellowpages.com/washington-dc/mip/holland-sherry-504428655,(202) 290-2293,https://interiors.hollandandsherry.com/en/showroomdetail/washington-dc,"1099 14th St NW, Washington, DC 20005",YellowPages,"ddileo@hollandandsherry.com, samplerequest@hollandandsherry.com, infointeriors@hollandandsherry.com","Washington, DC",Interior Designers,5.0,M:11/T:6,Modern/Abstract
Tom James Co,https://www.yellowpages.com/washington-dc/mip/tom-james-co-505339064,(202) 484-1259,https://www.tomjames.com,"1099 14th St NW, Washington, DC 20005",YellowPages,ClientServices@tomjames.com,"Washington, DC",Interior Designers,1.0,M:1/T:0,Modern/Abstract
LMi DESIGNS,https://www.yellowpages.com/new-york-ny/mip/lmi-designs-472603422,(212) 252-2152,http://www.lmidesigns.com,"130 7th Ave, New York, NY 10011",YellowPages,"mail@lmideigns.com, mail@LMiDesigns.com","New York, NY",Interior Designers,4.0,M:4/T:0,Modern/Abstract
