company_name,extracted_email,phone,address,website,art_affinity_score,art_category,country
Jane Lockhart Design in Toronto,media@smittencreative.com,,,https://www.janelockhart.com/,1.0,Modern/Abstract,Canada
Toronto Interior Design Group | Timeless Residential Interiors,"hello@tidg.ca,media@tidg.ca",,,https://tidg.ca/,3.0,Modern/Abstract,Canada
Hibou Design & Co. | Interior Design Company Montreal,"info@hiboudesignco.com,trades@hiboudesignco.com",,,https://www.hiboudesignco.com/,1.0,Modern/Abstract,Canada
Montreal Interior Designer and Decorator Services,"hello@westofmaindesign.com,shoppe@westofmaindesign.com",,,https://westofmaindesign.com/pages/interior-design-services-montreal,1.0,Modern/Abstract,Canada
Interior Designers | Contemporary Architect | Home Decorator,"support@schedulista.com,8c4075d5481d476e945486754f783364@sentry.io,info@ahdesignstudio.ca",,,https://www.ahdesignstudio.ca/montreal-interior-designers-projects,1.0,Modern/Abstract,Canada
DWK Interiors | Interior Decorating Calgary,"jmacdonald@dwkinteriors.ca,hello@dwkinteriors.ca,carcuri@dwkinteriors.ca,krioux@dwkinteriors.ca",,,https://dwkinteriors.com/,8.0,Modern/Abstract,Canada
What is a Normal Budget for Interior Design in India? - Near Me Interiors,"design@nearmeinteriors.com,info@nearmeinteriors.com",,,"https://nearmeinteriors.com/what-is-a-normal-budget-for-interior-design-in-india/#:~:text=Interior%20designers%20in%20India%20charge,ft.",1.0,Modern/Abstract,Canada
Interior Design Studio | Leclair Decor | Ottawa | Canada | US,"example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.leclairdecor.com/,7.0,Modern/Abstract,Canada
Fenwick & Company Interior Design | Winnipeg,info@fenwickinteriordesign.ca,,,https://fenwickinteriordesign.ca/,4.0,Modern/Abstract,Canada
Gillian Segal Design — Interior Design Studio Vancouver,"theresa@gilliansegaldesign.com,LAURA@gilliansegaldesign.com,MADDIE@gilliansegaldesign.com,info@GillianSegalDesign.com,Alexandra@gilliansegaldesign.com,info@gilliansegaldesign.com,gillian@gilliansegaldesign.com,TINA@gilliansegaldesign.com,maddie@gilliansegaldesign.com,tina@gilliansegaldesign.com,THERESA@gilliansegaldesign.com,enid@gilliansegaldesign.com",,,https://gilliansegaldesign.com/,4.0,Modern/Abstract,Canada
