company_name,extracted_email,website,art_affinity_score,art_category,country
Luxus Innenarchitektur I Berlin,"info@ed-interiordesign.com,8c4075d5481d476e945486754f783364@sentry.io",https://www.ed-interiordesign.com/en,0.0,Neutral,Germany
"INNENARCHITEKTUR Berlin | SUSANNE KAISER, Interior ...",berlin@susanne-kaiser.com,https://www.susanne-kaiser.com/,0.0,Neutral,Germany
Sibel Huhn : Berlin Innenarchitekt & Interior Design,concierge@sibelhuhn.com,https://sibelhuhn.com/,0.0,Neutral,Germany
TINNAPPELMETZ - Interior Design in Berlin,hello@tinnappelmetz.com,https://www.tinnappelmetz.com/,0.0,Neutral,Germany
English - raumdeuter - Interiordesign in Berlin,contact@raumdeuter.de,https://raumdeuter.de/english/,0.0,Neutral,Germany
CARLO Design l Expertise In Interiors l Berlin & Mallorca,"palma@carlodesign.com,berlin@carlodesign.com,user@domain.com",https://www.carlodesign.com/,0.0,Neutral,Germany
"Raumkonzepte, Architektur & Interior Design aus Berlin - mit ...",hallo@studiokristinengel.de,https://www.studiokristinengel.de/,0.0,Neutral,Germany
Raumausstatter fröhlich wohnen - Nikolaiviertel Berlin,"verein@berlin-nikolaiviertel.com,froehlich-wohnen@t-online.de,info@wbm.de,info@berlin-nikolaiviertel.com,info@vicamedia.com,info@stadtmuseum.de",https://berlin-nikolaiviertel.com/shopping/raumausstatter-froehlich-wohnen/?lang=en,0.0,Neutral,Germany
wohngefallen: Raumausstatter in Berlin,kontakt@wohngefallen.de,https://wohngefallen.de/,0.0,Neutral,Germany
Raumausstattung Wanger & Pasternack - Polsterei,post@raumausstattung-wanger.de,https://www.raumausstattung-wanger.de/,0.0,Neutral,Germany
JOI-Design | Innenarchitektur | Interior Design,,https://joi-design.com/,0.0,Neutral,Germany
https://www.soerensson.com/,"Soerengross@web.de,info@soerensson.com",https://www.soerensson.com/,0.0,Neutral,Germany
Cubik³ Innenarchitekten GmbH Hamburg,"buero@cubik3.de,benutzer@domain.com",https://www.cubik3.de/,0.0,Neutral,Germany
STUDIO BESAU MARGUERRE – INTERDISCIPLINARY ...,"INFO@BESAU-MARGUERRE.DE,marcel@besau-marguerre.de,eva@besau-marguerre.de,info@besau-marguerre.de,MARCEL@BESAU-MARGUERRE.DE,EVA@BESAU-MARGUERRE.DE",https://www.besau-marguerre.de/,0.0,Neutral,Germany
Raumausstatter Hamburg - 162 Adressen,"info@jalousie-welt.de,aida@aida-hamburg.de,info@aue-gmbh.de,info@altenburg-inneneinrichtung.de,mail@raumvisionen.net,info@pesa-wohngestaltung.de,info@helm-und-helm.de,ante.kristo@arcor.de,welcome@bellmann-interior.de,b.heye@bodoheye.de,info@garten-von-ehren.de",https://www.hamburg.de/branchenbuch/hamburg/10238612/n0/,0.0,Neutral,Germany
Raumausstatter/in - BERUFENET - eServices - Bundesagentur für Arbeit,,"https://web.arbeitsagentur.de/berufenet/beruf/4405#:~:text=Sie%20bereiten%20die%20Untergr%C3%BCnde%20vor,und%20f%C3%BChren%20erforderliche%20Reparaturen%20durch.",0.0,Neutral,Germany
Ausbildung Raumausstatter - Berufsbild & freie Plätze,info@perspektiven-finden.com,"https://www.perspektiven-finden.com/berufe/ausbildung/r/raumausstatter#:~:text=Die%20Ausbildung%20dauert%203%20Jahre,und%20in%20der%20Berufsschule%20statt.",0.0,Neutral,Germany
Wagener Raumausstattung - Inneneinrichter ...,wagener@wagener-raumausstattung.de,https://www.wagener-raumausstattung.de/,0.0,Neutral,Germany
Borchardt Raum & Idee e.K. - Raumausstatter in Hamburg ...,,https://www.borchardt-raumundidee.de/,0.0,Neutral,Germany
