company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Tarifs d'un architecte d'intérieur ou d'un décorateur à Paris,https://www.createursdinterieur.com/tarifs-architecte-interieur/,Google,Architecte d'intérieur,"Paris, Île-de-France, France",philippe@createursdinterieur.com,0.0,M:1/T:1,Neutral
Studio Castille - Architecte d'Intérieur Paris et Lyon,https://www.studiocastille.fr/,Google,Architecte d'intérieur,"Paris, Île-de-France, France","hello@studiocastille.fr,hello@monplandappart.fr,kattia@kattiamendiguettirp.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Laurent Galle: Architecte d'intérieur Paris & Décorateur,https://laurentgalle.fr/,Google,Architecte d'intérieur,"Paris, Île-de-France, France",,0.0,Connection Failed,Neutral
Les Décoreuses: Bureau d'architectes d'intérieur à Paris,https://lesdecoreuses.fr/,Google,Architecte d'intérieur,"Paris, Île-de-France, France",contact@lesdecoreuses.fr,0.0,M:0/T:0,Neutral
Atelier Soo: Architecte d'intérieur à Paris,https://ateliersoo.fr/,Google,Architecte d'intérieur,"Paris, Île-de-France, France",contact@ateliersoo.fr,0.0,M:0/T:0,Neutral
Décoration Intérieure - Architecte d'intérieur - Karine Perez,https://www.karineperez.com/decoration-interieure-prestation,Google,Décorateur d'intérieur,"Paris, Île-de-France, France","info@karineperez.com,contact@karineperez.com",0.0,M:0/T:0,Neutral
Marion Alberge: Architecte d'intérieur et décoratrice Paris,https://www.marionalberge.com/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France",contact@marionalberge.com,0.0,M:0/T:0,Neutral
Accueil - Paris d'Interieur,https://www.parisdinterieur.fr/,Google,Décorateur d'intérieur,"Paris, Île-de-France, France",aurore@parisdinterieur.fr,0.0,M:0/T:0,Neutral
Studio Molow : Architecte d'intérieur et décoratrice,https://studiomolow.com/,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",,0.0,M:0/T:0,Neutral
Sarah Archi-in Architecte d'intérieur Décoratrice à ...,https://www.sarah-archi-in.fr/,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","8c4075d5481d476e945486754f783364@sentry.io,sarah.archi.in@gmail.com",0.0,M:0/T:0,Neutral
"Atelier AG: Architecture d'intérieur, rénovation et ...",https://atelierag.fr/,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",ag@atelierag.fr,0.0,M:1/T:1,Neutral
Prix architecte intérieur : comprendre les coûts et les facteurs clés - Rhinov,https://www.rhinov.fr/prix-architecte-interieur,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",logo_av@2x.webp,0.0,M:0/T:0,Neutral
Mon conseiller décorateur: Architecte d'interieur et déco à ...,https://www.monconseillerdecorateur.fr/,Google,Architecte d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","8c4075d5481d476e945486754f783364@sentry.io,mcd.mail@orange.fr",0.0,M:0/T:0,Neutral
Mon conseiller décorateur: Architecte d'interieur et déco à ...,https://www.monconseillerdecorateur.fr/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","8c4075d5481d476e945486754f783364@sentry.io,mcd.mail@orange.fr",0.0,M:0/T:0,Neutral
Studio Molow : Architecte d'intérieur et décoratrice,https://studiomolow.com/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",,0.0,M:0/T:0,Neutral
Décoratrice d'intérieur à Marseille Stéphanie Masia,https://www.stephanie-masia.fr/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France",contact@stephanie-masia.fr,0.0,M:0/T:0,Neutral
Sarah Archi-in Architecte d'intérieur Décoratrice à ...,https://www.sarah-archi-in.fr/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","8c4075d5481d476e945486754f783364@sentry.io,sarah.archi.in@gmail.com",0.0,M:0/T:0,Neutral
Spatule & Guéridon: Décoratrice d'intérieur à Marseille,https://www.spatuleetgueridon.com/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","jprats@spatuleetgueridon.com,utilisateur@domaine.com",0.0,M:0/T:0,Neutral
Décorateur Architecte d'intérieur – Marseille (13),https://mh-interior.fr/decorateur-paca/decorateur-architecte-interieur-marseille-13/,Google,Décorateur d'intérieur,"Marseille, Provence-Alpes-Côte d'Azur, France","contact@mhdeco.fr,dor@mikado.com",0.0,M:0/T:0,Neutral
Architecte Interieur: Accueil,https://larchitectedinterieur.com/,Google,Architecte d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France","contact@larchitectedinterieur.com,contact@larichitectedinterieur.com",0.0,M:0/T:0,Neutral
Studio anata: Architecte d'intérieur à Lyon - Rénovation,https://studioanata.com/,Google,Architecte d'intérieur,"Lyon, Auvergne-Rhône-Alpes, France",contact@studioanata.com,0.0,Connection Failed,Neutral
