company_name,yellowpages_url,phone,website,address,source,extracted_email,target_city,search_term,art_affinity_score,score_details,art_category
John Anthony Lewis Architect Inc,https://www.yellowpages.com/nationwide/mip/john-anthony-lewis-architect-inc-14147024?lid=1000116624928,(818) 521-9876,http://www.jalewisarchitect.com,Serving theLos Angeles Area,YellowPages,jal@jalewisarchitect.com,"Los Angeles, CA",Interior Decorators,0.0,M:0/T:0,Neutral
Kna Interior Design,https://www.yellowpages.com/los-angeles-ca/mip/kna-interior-design-19199211,(323) 944-0100,https://www.knadesign.com/contact,"8255 Beverly Blvd, Los Angeles, CA 90048",YellowPages,user@domain.com,"Los Angeles, CA",Interior Decorators,0.0,M:0/T:0,Neutral
Tomar Lampert,https://www.yellowpages.com/los-angeles-ca/mip/tomar-lampert-5681520,(310) 271-4299,http://tomarlampert.com,"1718 Rising Glen Rd, Los Angeles, CA 90069",YellowPages,"8c4075d5481d476e945486754f783364@sentry.io, info@tomarlampert.com","Los Angeles, CA",Interior Decorators,0.0,M:1/T:1,Neutral
Pam Rigney Design,https://www.yellowpages.com/los-angeles-ca/mip/pam-rigney-design-463758109,(310) 559-5070,http://www.pamrigneydesign.com,"10801 National Blvd, Los Angeles, CA 90064",YellowPages,"pam@pamrigneydesign.com, npam@pamrigneydesign.com, kelly@pamrigneydesign.com, nkelly@pamrigneydesign.com","Los Angeles, CA",Interior Decorators,0.0,M:0/T:0,Neutral
Lance Wang Interior Decoration,https://www.yellowpages.com/los-angeles-ca/mip/lance-wang-interior-decoration-10512821,(213) 384-5844,http://lancewang.com,"319 S Western Ave, Los Angeles, CA 90020",YellowPages,"aaltoarchitecture@office.com, info@lancewang.com","Los Angeles, CA",Interior Decorators,0.0,M:0/T:0,Neutral
Tara Design,https://www.yellowpages.com/los-angeles-ca/mip/tara-design-475559691,(323) 424-7757,http://dolcegal.myshopify.com,"343 N La Brea Ave, Los Angeles, CA 90036",YellowPages,Sales.Tara.Design@gmail.com,"Los Angeles, CA",Interior Decorators,0.0,M:0/T:0,Neutral
NM Interiors Group,https://www.yellowpages.com/phoenix-az/mip/nm-interiors-group-13795689,(602) 257-2282,http://nminteriors.biz,"99 E Virginia Ave Ste 215, Phoenix, AZ 85004",YellowPages,info@nminteriors.biz,"Phoenix, AZ",Interior Designers,0.0,M:0/T:0,Neutral
Valley Interiors Design Center,https://www.yellowpages.com/phoenix-az/mip/valley-interiors-design-center-8543239,(602) 971-5548,http://www.valleyinteriors.com,"13407 N Cave Creek Rd, Phoenix, AZ 85022",YellowPages,Showroom@valleyinteriors.com,"Phoenix, AZ",Interior Designers,0.0,M:0/T:0,Neutral
Apex National Decorators,https://www.yellowpages.com/phoenix-az/mip/apex-national-decorators-18569801,(602) 283-4770,https://www.apexnational.com,"4609 N 12th St, Phoenix, AZ 85014",YellowPages,"steve@apexnational.com, email@example.com","Phoenix, AZ",Interior Designers,0.0,M:0/T:0,Neutral
Atmosphere Commercial Int,https://www.yellowpages.com/phoenix-az/mip/atmosphere-commercial-int-532234222,(602) 595-9738,http://atmosphereci.com,"817 N Central Ave, Phoenix, AZ 85004",YellowPages,info@atmosphereci.com,"Phoenix, AZ",Interior Designers,0.0,Connection Failed,Neutral
Gatling Design,https://www.yellowpages.com/san-diego-ca/mip/gatling-design-497200357,(619) 795-8983,http://www.gatlingdesign.com/contact,"345 W Juniper St, San Diego, CA 92101",YellowPages,info@GatlingDesign.com,"San Diego, CA",Interior Designers,0.0,M:1/T:1,Neutral
San Diego Office Design,https://www.yellowpages.com/san-diego-ca/mip/san-diego-office-design-22169329,(619) 610-9358,http://www.sandiegoofficedesign.com,"5005 Texas St Ste 304, San Diego, CA 92108",YellowPages,info@sdofficedesign.com,"San Diego, CA",Interior Designers,0.0,M:0/T:0,Neutral
Crave Design Co,https://www.yellowpages.com/san-diego-ca/mip/crave-design-co-576102595,(619) 818-7829,https://www.cravedesignco.com,"945 Tarento Dr, San Diego, CA 92106",YellowPages,"CONTACT@CRAVEDESIGNCO.COM, 8c4075d5481d476e945486754f783364@sentry.io, email@example.com","San Diego, CA",Interior Designers,0.0,M:0/T:0,Neutral
Ocean Drive Designs,https://www.yellowpages.com/san-diego-ca/mip/ocean-drive-designs-575194430,(619) 243-4211,https://oceandrivedesigns.com,"6419 Reflection Dr, San Diego, CA 92124",YellowPages,"info@5bk.191.myftpupload.com, admin@5bk.191.myftpupload.com","San Diego, CA",Interior Designers,0.0,M:0/T:0,Neutral
PS Business Interiors,https://www.yellowpages.com/san-diego-ca/mip/ps-business-interiors-1162326,(858) 268-0440,http://www.psbofficefurniture.com,"7377 Convoy Ct, San Diego, CA 92111",YellowPages,"psb@psbofficefurniture.com, delwyn@psbofficefurniture.com, delwin@psbofficefurniture.com","San Diego, CA",Interior Designers,0.0,M:0/T:0,Neutral
Homemaker,https://www.yellowpages.com/san-jose-ca/mip/homemaker-526380678,(408) 309-9595,http://www.homemakr.io,"1252 Alma Court, San Jose, CA 95112",YellowPages,"hello@homemakr.io, user@domain.com, hello@deyounghome.com","San Jose, CA",Interior Designers,0.0,M:0/T:0,Neutral
RMW Architecture & Interiors,https://www.yellowpages.com/san-jose-ca/mip/rmw-architecture-interiors-5062199,(408) 294-8000,https://rmw.com/contact,"30 E Santa Clara St, San Jose, CA 95113",YellowPages,info@rmw.com,"San Jose, CA",Interior Designers,0.0,M:0/T:0,Neutral
Accent Interiors Inc.,https://www.yellowpages.com/san-jose-ca/mip/accent-interiors-inc-525062274,(408) 441-8133,http://accentinteriors.net/accentinteriorsinc.business.site,"752 Commercial St, San Jose, CA 95112",YellowPages,info@accentinteriors.net,"San Jose, CA",Interior Designers,0.0,M:0/T:0,Neutral
Grandesign Decor Inc,https://www.yellowpages.com/san-jose-ca/mip/grandesign-decor-inc-14175066,(408) 436-9969,http://www.gdecor.com,"1727 N 1st St, San Jose, CA 95112",YellowPages,fax@gdecor.com,"San Jose, CA",Interior Designers,0.0,M:0/T:0,Neutral
Mizma Design Assoc,https://www.yellowpages.com/austin-tx/mip/mizma-design-assoc-20656175,(512) 322-9804,http://www.mizmadesign.com,"8602 Oakmountain Cir, Austin, TX 78759",YellowPages,info@mizmadesign.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Senter Design Inc,https://www.yellowpages.com/austin-tx/mip/senter-design-inc-20641186,(512) 917-5193,http://www.senterdesign.com,"2608 Thomas Dr, Austin, TX 78703",YellowPages,Info@SenterDesign.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
KLM Interiors,https://www.yellowpages.com/austin-tx/mip/klm-interiors-3004976,(512) 458-8081,http://klminteriors.com,"4704 Island Cv, Austin, TX 78731",YellowPages,info@klminteriors.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Studio Marchant,https://www.yellowpages.com/austin-tx/mip/studio-marchant-576280556,(512) 200-3439,http://www.studiomarchant.com,"1204 E 7th St, Austin, TX 78702",YellowPages,robert@broofa.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Tete-A-Tete,https://www.yellowpages.com/austin-tx/mip/tete-a-tete-571893504,(512) 931-1054,http://www.tete-interiors.com,"1502 West Ave, Austin, TX 78701",YellowPages,tete@tete-interiors.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Laura Lee Home,https://www.yellowpages.com/austin-tx/mip/laura-lee-home-568216337,(512) 368-0938,https://www.lauraleehome.com,"706 Meriden Ln, Austin, TX 78703",YellowPages,"laura@LAURALEEHOME.COM, user@domain.com, studio@lauraleehome.com","Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Prestige Interiors Inc,https://www.yellowpages.com/austin-tx/mip/prestige-interiors-inc-13598507,(512) 451-5914,http://raisedaccessfloors.com,"3904 Warehouse Row Ste C, Austin, TX 78704",YellowPages,info@raisedaccessfloors.com,"Austin, TX",Interior Decorators,0.0,M:0/T:0,Neutral
Gensler,https://www.yellowpages.com/charlotte-nc/mip/gensler-559284451,(704) 377-2725,http://gensler.com,"101 S Tryon St, Charlotte, NC 28280",YellowPages,media@gensler.com,"Charlotte, NC",Interior Designers,0.0,M:1/T:1,Neutral
Studio Fusion PA,https://www.yellowpages.com/charlotte-nc/mip/studio-fusion-pa-519893446,(704) 377-9772,http://studiofusionpa.com,"309 E Morehead St, Charlotte, NC 28202",YellowPages,"contact@studiofusionpa.com, dhickman@studiofusionpa.com","Charlotte, NC",Interior Designers,0.0,M:0/T:0,Neutral
Fuller Industries,https://www.yellowpages.com/nashville-tn/mip/fuller-industries-8671409?lid=1002177474305,(629) 228-9238,http://www.fullerindustries.com,"61 Visco Ct, Nashville, TN 37210",YellowPages,russell_fuller@bellsouth.net,"Nashville, TN",Interior Decorators,0.0,M:0/T:0,Neutral
Goodman Dana Interiors,https://www.yellowpages.com/nashville-tn/mip/goodman-dana-interiors-460741776,(615) 373-8765,http://danagoodmaninteriors.com,"6313 Chickering Woods Dr, Nashville, TN 37215",YellowPages,gina@ginajulian.net,"Nashville, TN",Interior Decorators,0.0,M:2/T:2,Neutral
