company_name,extracted_email,website,art_affinity_score,art_category,country
Raumausstatter Berlin | ADLER Wohndesign in ...,"spiger@adler-wohndesign.de,hart@adler-wohndesign.de,vogt@adler-wohndesign.de,adler@adler-wohndesign.de,drewitz@adler-wohndesign.de,info@adler-wohndesign.de",https://www.adler-wohndesign.de/,3.0,Modern/Abstract,Germany
BEESE raumgestaltung: Erstklassige Raumausstatter in Berlin,info@beese-raumgestaltung.de,https://www.beese-raumgestaltung.de/,1.0,Modern/Abstract,Germany
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",1.0,Modern/Abstract,Germany
MAU Inneneinrichtung: Durchdachte Raumgestaltung ...,team@mau-inneneinrichtung.de,https://www.mau-inneneinrichtung.de/,2.0,Modern/Abstract,Germany
Oliver Wagner: Inneneinrichtung Hamburg,info@oliver-wagner-inneneinrichtung.de,https://www.oliver-wagner-inneneinrichtung.de/,1.0,Modern/Abstract,Germany
Raumgestaltung Rosenthal – Ihr Raumausstatter in Hamburg ...,info@raumgestaltung-rosenthal.de,https://raumgestaltung-rosenthal.com/,2.0,Modern/Abstract,Germany
Lohnt sich ein Innenarchitekt? Alle Vorteile und Kosten im Überblick,hallo@farbmut.de,"https://farbmut.de/innenarchitekt/#:~:text=Die%20Kosten%20f%C3%BCr%20einen%20Innenarchitekten,oder%20mehr%20f%C3%BCr%20erfahrene%20Innenarchitekten.",1.0,Modern/Abstract,Germany
Innenarchitektur Gehalt in München 2025 - jobvector,,https://www.jobvector.de/gehalt/innenarchitektur/m%C3%BCnchen/,2.0,Modern/Abstract,Germany
How Much Interior Designers Cost in 2025: Online vs Local,info@deborainteriors.com,"https://deborainteriors.com/interior-design/interior-designer-cost/#:~:text=time%20is%20uncertain.-,Flat%20Fees,can%20exceed%20%2410%2C000%20per%20room.",1.0,Modern/Abstract,Germany
Design darf leicht sein - Innenarchitektur München,office@innenarchitektur-federleicht.de,https://www.innenarchitektur-federleicht.de/,1.0,Modern/Abstract,Germany
Manuela Bross - Innenarchitektur - Manuela Bross ...,info@manuelabross.de,https://www.manuelabross.de/,3.0,Modern/Abstract,Germany
eswerderaum: Innenarchitekt in München - Andreas Ptatscheck,"info@eswerderaum.de,name@beispiel.de",https://www.eswerderaum.de/,6.0,Modern/Abstract,Germany
Wir gestalten Innenräume - Innenarchitektur aus München,date@bruecknerarchitekten.de,https://bruecknerinnen.com/,2.0,Modern/Abstract,Germany
Raumausstattung München und in der Nähe,"info@zimmer-werk.de,kontakt@rogge-raumausstattung.de,info@raumausstattung-brunsch.de,kontakt@raumausstattung-strass.de,info@wohnwerkstatt-ottobrunn.de,kontakt@wagenpfeil-raumausstattung.de,info@wittmann-raumgestaltung.de,s.wolf@raumausstattung-wolf.de,info@perzl.com,kontakt@dasblauetuch.de,info@bogenhausener-werkstaette.de",https://www.muenchen.de/service/branchenbuch/R/285.html,1.0,Modern/Abstract,Germany
Raumausstatter München | Exklusive Raumgestaltung ...,,https://zimmer-werk.de/,1.0,Modern/Abstract,Germany
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",1.0,Modern/Abstract,Germany
Fischer Raumausstattung,fue@fischer-raumausstattung.de,https://www.fischer-raumausstattung.de/,3.0,Modern/Abstract,Germany
"Raumausstattung Aschauer – Boden, Maler & Renovierung in ...","max.aschauer@web.de,dpo-google@google.com",https://raumausstattung-aschauer.de/,2.0,Modern/Abstract,Germany
raumwahl raumausstatter inneneinrichter münchen ...,raumwahl@online.de,https://www.raum-wahl.de/,1.0,Modern/Abstract,Germany
Interior Designers in Cologne - Top 25 ...,,https://www.re-thinkingthefuture.com/top-architects/a7643-interior-designers-in-cologne-top-25-interior-designers-in-cologne/,1.0,Modern/Abstract,Germany
Home - Studio ASH | Interior - Architecture - Design,info@studio-ash.de,https://studio-ash.de/,2.0,Modern/Abstract,Germany
"MS in Interior Design in Germany: Top Universities, Admission","info@anigdha.com,contact@anighdha.com","https://www.studyeurope.in/ms-in-interior-design-in-germany/#:~:text=Great%20universities%3A%20Germany%20has%20some,in%20Germany%20is%20relatively%20low.",2.0,Modern/Abstract,Germany
What is the 70/30 rule in interior design? - Group 3 Designs,info@group3designs.net,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",2.0,Modern/Abstract,Germany
Innen & Architektur,info@lepel-lepel.de,https://www.lepel-lepel.de/,1.0,Modern/Abstract,Germany
ULRIKE WALLAUER Innenarchitektin AKNW Neue ...,,https://wallauer-innenarchitektin.eu/,3.0,Modern/Abstract,Germany
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",1.0,Modern/Abstract,Germany
"MS in Interior Design in Germany: Top Universities, Admission","info@anigdha.com,contact@anighdha.com","https://www.studyeurope.in/ms-in-interior-design-in-germany/#:~:text=Great%20universities%3A%20Germany%20has%20some,in%20Germany%20is%20relatively%20low.",2.0,Modern/Abstract,Germany
JL Innenarchitektur,,https://www.high-on.com/jl-innenarchitektur,2.0,Modern/Abstract,Germany
jueschke-innenarchitektur.de,buero@jueschke-innenarchitektur.de,https://jueschke-innenarchitektur.de/,1.0,Modern/Abstract,Germany
Raumausstatter Frankfurt » Stilvolle Raumgestaltung vom ...,info@raumconcept.de,https://www.raumconcept.de/,11.0,Modern/Abstract,Germany
Lebensraum FFM: Raumausstatter Frankfurt am Main,info@lebensraum-ffm.de,https://lebensraum-ffm.de/,2.0,Modern/Abstract,Germany
Raumausstattung Henrici - Raumausstattung Henrici ...,info@raumausstattung-henrici.de,https://raumausstattung-henrici.de/,1.0,Modern/Abstract,Germany
Bachelor Interior Architecture,"heidrun.boegner-balz@hft-stuttgart.de,marine.paichard@hft-stuttgart.de,anisha.schwille@hft-stuttgart.de,berndt.zeitler@hft-stuttgart.de,beatriz.unger-bimczok@hft-stuttgart.de,dieter.uckelmann@hft-stuttgart.de,elena.schoen@hft-stuttgart.de,danielle.chagas@hft-stuttgart.de,tamara.piombino@hft-stuttgart.de,daniela.claus@hft-stuttgart.de,christina.rehm@hft-stuttgart.de,sarah.larsen-vefring@hft-stuttgart.de,salam.traboulsi@hft-stuttgart.de,volker.coors@hft-stuttgart.de,tobias.popovic@hft-stuttgart.de,ia@hft-stuttgart.de,isabella.fischer@hft-stuttgart.de,anja.ernst@hft-stuttgart.de,seher.qadeer-wecke@hft-stuttgart.de,andreas.schmitt@hft-stuttgart.de,innenarchitektur@hft-stuttgart.de,diana.arfeli@hft-stuttgart.de",https://www.hft-stuttgart.com/studies/fields-of-study/architecture-and-design/bachelor-interior-architecture,1.0,Modern/Abstract,Germany
Behnisch Architekten,,https://behnisch.com/,3.0,Modern/Abstract,Germany
DORIS WOLFART – Innenarchitektur & Architektur,"user@domain.com,mail@doriswolfart.com",https://www.doriswolfart.com/,1.0,Modern/Abstract,Germany
Raumausstatter Friz,info@raumausstattung-friz.de,https://raumausstattung-friz.de/,1.0,Modern/Abstract,Germany
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",1.0,Modern/Abstract,Germany
"MS in Interior Design in Germany: Top Universities, Admission","info@anigdha.com,contact@anighdha.com","https://www.studyeurope.in/ms-in-interior-design-in-germany/#:~:text=Great%20universities%3A%20Germany%20has%20some,in%20Germany%20is%20relatively%20low.",2.0,Modern/Abstract,Germany
"Innenarchitektur Düsseldorf, Ursula ...","info@ulla-blennemann.de,info@ubhome.de",https://www.ulla-blennemann.de/en/,4.0,Modern/Abstract,Germany
PLANKONTUR: INNENARCHITEKTEN IN DÜSSELDORF,info@plankontur.de,https://plankontur.de/,3.0,Modern/Abstract,Germany
Raumausstattung Düsseldorf | Jusczyk raum + ausstattung,info@oliverjusczyk.de,https://www.oliverjusczyk.de/,6.0,Modern/Abstract,Germany
Raumakzente + Ausstattung: Raumausstattung Düsseldorf,,https://www.raumakzente.de/,5.0,Modern/Abstract,Germany
Raumausstatter/in Gehälter in Deutschland 2025 - Stepstone,,"https://www.stepstone.de/gehalt/Raumausstatter-in.html#:~:text=11%20%E2%82%AC%20pro%20Stunde.,in%20Essen%2C%20Bochum%2C%20Duisburg.",1.0,Modern/Abstract,Germany
Rick Wohnkultur | Exklusive Inneneinrichtung aus Düsseldorf,info@rick-wohnkultur.de,https://rick-wohnkultur.de/,2.0,Modern/Abstract,Germany
Raumausstattung Düsseldorf | Willkommen bei Schecher.de,info@schecher.de,https://schecher.de/,10.0,Modern/Abstract,Germany
Interior Designers in Leipzig - Top 25 ...,,https://www.re-thinkingthefuture.com/top-architects/a8144-interior-designers-in-leipzig-top-25-interior-designers-in-leipzig/,3.0,Modern/Abstract,Germany
Emotionrooms | Interior Design & Innenarchitekten Leipzig,info@emotionrooms.de,https://www.emotionrooms.de/,2.0,Modern/Abstract,Germany
Atelier Boger - Interieur Design,"evelinaboger@atelierboger.com,benutzer@domain.com",https://www.atelierboger.com/,1.0,Modern/Abstract,Germany
Raumausstattung & Polsterei Köhler in Leipzig,"fo@raumausstattung-koehler-leipzig.de,info@raumausstattung-koehler-leipzig.de",https://www.raumausstattung-koehler-leipzig.de/,1.0,Modern/Abstract,Germany
Raumausstatter Rothaupt - Raumaustatter Rothaupt,,https://www.raumausstatter-rothaupt.de/home/,2.0,Modern/Abstract,Germany
Raumgespür – Innenarchitektur und Design aus Dortmund,mail@raum-gespuer.de,https://raum-gespuer.de/,2.0,Modern/Abstract,Germany
"Büro für Innenarchitektur Dortmund, Innenarchitekt Dortmund ...",mail@raum-gespuer.de,http://www.ilka-hilgemann.de/,1.0,Modern/Abstract,Germany
Innenarchitekt Dortmund – Exklusive Architektur & Planung,info@one-contact.de,https://one-contact.de/innenarchitekt-dortmund/,4.0,Modern/Abstract,Germany
Zimmermann Dortmund – Raumausstattung und Polsterei,kontakt@zimmermann-dortmund.de,https://zimmermann-dortmund.de/,1.0,Modern/Abstract,Germany
Raumgestaltung Pöpplow,info@poepplow.com,https://poepplow.com/,4.0,Modern/Abstract,Germany
Lohnt sich ein Innenarchitekt? Alle Vorteile und Kosten im Überblick,hallo@farbmut.de,"https://farbmut.de/innenarchitekt/#:~:text=Die%20Kosten%20f%C3%BCr%20einen%20Innenarchitekten,oder%20mehr%20f%C3%BCr%20erfahrene%20Innenarchitekten.",1.0,Modern/Abstract,Germany
Innenarchitekt Essen - Beyer Designs,info@beyer-designs.de,https://beyer-designs.de/innenarchitekt-essen/,3.0,Modern/Abstract,Germany
