company_name,extracted_email,phone,address,website,art_affinity_score,art_category,country
"Sansa Interiors: Interior Design Studio Toronto, Canada","user@domain.com,info@sansainteriors.com,jude@sansainteriors.com",,,https://www.sansainteriors.com/,0.0,Neutral,Canada
IA Interior Architects | Designing People-Centric Experiences | IA,hello@interiorarchitects.com,,,https://interiorarchitects.com/,0.0,Neutral,Canada
Lipari Design: Interior Design Montreal Laval,info@liparidesign.ca,,,http://liparidesign.ca/,0.0,Neutral,Canada
"Salary: Interior Design in Montreal, QC (Dec, 2025) - ZipRecruiter",accessibility@ziprecruiter.com,,,"https://www.ziprecruiter.com/Salaries/Interior-Design-Salary-in-Montreal,QC",0.0,Neutral,Canada
Tanya Collins : Ottawa Interior Designer,info@tanyacollinsdesign.com,,,https://tanyacollinsdesign.com/,0.0,Neutral,Canada
Award-Winning Interior Design • Cornwall • Ottawa,"hello@gloryandbrand.com,info@sheridaninteriors.ca",,,https://sheridaninteriors.ca/,0.0,Neutral,Canada
Stephenson House: Luxury Interior Designer In Edmonton,theshoppe@stephensonhouse.co,,,https://www.stephensonhouse.co/?srsltid=AfmBOopG03SiWck8o-yVmeKvjkeAeOhYYVrLC9K0SEy2RQM3-pQK7jZc,0.0,Neutral,Canada
Interior Designer Edmonton | Interior Decorators Alberta,"designsbyflis@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.flis.ca/,0.0,Neutral,Canada
"Residential Interior Design near Edmonton, AB","evangel@calgary.bbb.org,business@centraltx.bbb.org,info@fortworth.bbb.org,alison@calgary.bbb.org,winnie@calgary.bbb.org,info@centraltx.bbb.org,gord@calgary.bbb.org,info@calgary.bbb.org",,,https://www.bbb.org/ca/ab/edmonton/category/residential-interior-design,0.0,Neutral,Canada
DO-UP Design - Home Interior Styling and Refresh in ...,tanyia@do-up.ca,,,https://www.do-up.ca/,0.0,Neutral,Canada
Coco & Jack Design Studio | Ontario Interior Designer,"hello@cocoandjack.com,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.cocoandjack.com/,0.0,Neutral,Canada
Interior Designer | Quebec,"EMAILc3.design@outlook.com,c3.design@outlook.com",,,https://atelierc3design.com/en/,0.0,Neutral,Canada
La maison Perron - Perron commercial and residential ...,"utilisateur@domaine.com,info@perrondesign.ca",,,https://www.perrondesign.ca/en/projets/maisonperron,0.0,Neutral,Canada
Tower Interiors Ltd: Interior Design | Home and Business ...,"design@towerinteriors.ca,Pam@towerinteriors.ca",,,https://www.halifaxinteriordesign.com/,0.0,Neutral,Canada
Jillian Summers,"customerservice@upstaginghomes.com,user@domain.com",,,https://www.jilliansummers.ca/,0.0,Neutral,Canada
Interior Designers Association Of Saskatchewan (IDAS),"idasadmin@idas.ca,president@idas.ca,vpmembership@idas.ca",,,https://idas.ca/,0.0,Neutral,Canada
The Design Factory - Full Service Interior Designer,"shannon@thedesignfactory.ca,SHANNON@THEDESIGNFACTORY.CA,8c4075d5481d476e945486754f783364@sentry.io",,,https://www.thedesignfactory.ca/,0.0,Neutral,Canada
