company_name,yellowpages_url,phone,website,address,source,target_city,search_term,extracted_email,art_affinity_score,score_details,art_category
"Sansa Interiors: Interior Design Studio Toronto, Canada",,,https://www.sansainteriors.com/,,Google,"Toronto, ON",Interior Designers,"user@domain.com,info@sansainteriors.com,jude@sansainteriors.com",0.0,M:0/T:0,Neutral
IA Interior Architects | Designing People-Centric Experiences | IA,,,https://interiorarchitects.com/,,Google,"Toronto, ON",Interior Designers,hello@interiorarchitects.com,0.0,M:0/T:0,Neutral
Lipari Design: Interior Design Montreal Laval,,,http://liparidesign.ca/,,Google,"Montreal, QC",Interior Designers,info@liparidesign.ca,0.0,M:0/T:0,Neutral
"Salary: Interior Design in Montreal, QC (Dec, 2025) - ZipRecruiter",,,"https://www.ziprecruiter.com/Salaries/Interior-Design-Salary-in-Montreal,QC",,Google,"Montreal, QC",Interior Designers,accessibility@ziprecruiter.com,0.0,M:0/T:0,Neutral
Tanya Collins : Ottawa Interior Designer,,,https://tanyacollinsdesign.com/,,Google,"Ottawa, ON",Interior Designers,info@tanyacollinsdesign.com,0.0,M:0/T:0,Neutral
Award-Winning Interior Design • Cornwall • Ottawa,,,https://sheridaninteriors.ca/,,Google,"Ottawa, ON",Interior Designers,"hello@gloryandbrand.com,info@sheridaninteriors.ca",0.0,M:0/T:0,Neutral
Stephenson House: Luxury Interior Designer In Edmonton,,,https://www.stephensonhouse.co/?srsltid=AfmBOopG03SiWck8o-yVmeKvjkeAeOhYYVrLC9K0SEy2RQM3-pQK7jZc,,Google,"Edmonton, AB",Interior Designers,theshoppe@stephensonhouse.co,0.0,M:1/T:1,Neutral
Interior Designer Edmonton | Interior Decorators Alberta,,,https://www.flis.ca/,,Google,"Edmonton, AB",Interior Designers,"designsbyflis@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
"Residential Interior Design near Edmonton, AB",,,https://www.bbb.org/ca/ab/edmonton/category/residential-interior-design,,Google,"Edmonton, AB",Interior Designers,"evangel@calgary.bbb.org,business@centraltx.bbb.org,info@fortworth.bbb.org,alison@calgary.bbb.org,winnie@calgary.bbb.org,info@centraltx.bbb.org,gord@calgary.bbb.org,info@calgary.bbb.org",0.0,M:0/T:0,Neutral
DO-UP Design - Home Interior Styling and Refresh in ...,,,https://www.do-up.ca/,,Google,"Edmonton, AB",Interior Designers,tanyia@do-up.ca,0.0,M:0/T:0,Neutral
Coco & Jack Design Studio | Ontario Interior Designer,,,https://www.cocoandjack.com/,,Google,"Hamilton, ON",Interior Designers,"hello@cocoandjack.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Interior Designer | Quebec,,,https://atelierc3design.com/en/,,Google,"Quebec City, QC",Interior Designers,"EMAILc3.design@outlook.com,c3.design@outlook.com",0.0,M:1/T:1,Neutral
La maison Perron - Perron commercial and residential ...,,,https://www.perrondesign.ca/en/projets/maisonperron,,Google,"Quebec City, QC",Interior Designers,"utilisateur@domaine.com,info@perrondesign.ca",0.0,M:0/T:0,Neutral
Tower Interiors Ltd: Interior Design | Home and Business ...,,,https://www.halifaxinteriordesign.com/,,Google,"Halifax, NS",Interior Designers,"design@towerinteriors.ca,Pam@towerinteriors.ca",0.0,M:0/T:0,Neutral
Jillian Summers,,,https://www.jilliansummers.ca/,,Google,"London, ON",Interior Decorators,"customerservice@upstaginghomes.com,user@domain.com",0.0,M:0/T:0,Neutral
Interior Designers Association Of Saskatchewan (IDAS),,,https://idas.ca/,,Google,"Saskatoon, SK",Interior Designers,"idasadmin@idas.ca,president@idas.ca,vpmembership@idas.ca",0.0,M:0/T:0,Neutral
The Design Factory - Full Service Interior Designer,,,https://www.thedesignfactory.ca/,,Google,"Kitchener, ON",Interior Designers,"shannon@thedesignfactory.ca,SHANNON@THEDESIGNFACTORY.CA,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Sarah St.Amand Interior Design | Serving Southern Ontario,,,https://www.stamanddesign.com/?srsltid=AfmBOorJhJOK18v8_gEZwCIUXJxIeVnrVWbBdVfSqKT_s1oOr81SHpRN,,Google,"Kitchener, ON",Interior Designers,"hello@stamanddesign.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Studio V Interiors,,,https://www.studiov.ca/,,Google,"Windsor, ON",Interior Designers,"lisalvardai@gmail.com,user@domain.com",0.0,M:1/T:1,Neutral
studioen Interior Design | Saskatchewan | Interior Design,,,https://www.studio-en.ca/,,Google,"Regina, SK",Interior Designers,hello@studio-en.ca,0.0,M:0/T:0,Neutral
Brigitte Lagacé: Designer Intérieur à Sherbrooke et Magog,,,https://brldesign.com/,,Google,"Sherbrooke, QC",Interior Decorators,brldesign@videotron.ca,0.0,M:0/T:0,Neutral
DÉCORATION SHERBROOKE - Interior Designers ... - BDIR.IN,,,https://bdir.in/p/best/ca/interior-designers-in-sherbrooke-qc/MzgzMDg=,,Google,"Sherbrooke, QC",Interior Decorators,"datagemba@gmail.com,mireille@decorationsherbrooke.com",0.0,M:0/T:0,Neutral
"Interior Design, Home Renovations Sudbury, Valley East, ON",,,https://www.interiorsbynicole.ca/,,Google,"Greater Sudbury, ON",Interior Designers,nicoleanderson221@yahoo.ca,0.0,M:0/T:0,Neutral
Style My Abode: Interior Stylist & Designer,,,https://www.stylemyabode.com/,,Google,"Greater Sudbury, ON",Interior Decorators,"info.stylemyabode@gmail.com,example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Oshawa Interior Designer | CMH Interiors | Carrie Hill,,,https://www.cmhinteriors.com/,,Google,"Oshawa, ON",Interior Designers,cmhinteriors@gmail.com,0.0,M:0/T:0,Neutral
"Interior Design Services | AB Interiors | Oshawa, Ontario",,,https://www.abinteriors.ca/,,Google,"Oshawa, ON",Interior Designers,"amandabeerinteriors@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Tiffany Leigh Design | Full Service Interior Design,,,https://www.tiffanyleighdesign.com/,,Google,"Barrie, ON",Interior Designers,info@tiffanyleighdesign.com,0.0,M:0/T:0,Neutral
iSO Design & Interiors: Top Interior Designer & Home Staging ...,,,https://www.isodesign.ca/,,Google,"Barrie, ON",Interior Designers,"YourPayPalEmail@domain.com,info@isodesign.ca,ninadoiron@istagenorganize.com",0.0,M:0/T:0,Neutral
Simply Design: Interior Design Services in Barrie,,,https://simplydesign.ca/,,Google,"Barrie, ON",Interior Designers,"info@interiar.com,stacey@simplydesign.ca",0.0,M:0/T:0,Neutral
"Interior Designer near Abbotsford, BC",,,https://www.bbb.org/ca/bc/abbotsford/category/interior-designer,,Google,"Abbotsford, BC",Interior Designers,"contactus@mbc.bbb.org,business@centraltx.bbb.org,info@fortworth.bbb.org,info@centraltx.bbb.org,aaron@mbc.bbb.org,join@mbc.bbb.org",0.0,M:0/T:0,Neutral
Inspired Designs by Maureen Fyfe: Interior Decorator,,,https://www.maureenfyfe.com/,,Google,"Guelph, ON",Interior Designers,inspireddesigns@maureenfyfe.com,0.0,M:0/T:0,Neutral
Nathalie Rioux Designer d'intérieur au Saguenay-Lac-St-Jean,,,http://nathalieriouxdesign.com/,,Google,"Saguenay, QC",Interior Designers,nrioux.design@gmail.com,0.0,M:0/T:0,Neutral
"Dave Duchesne, Designer d'intérieur | Saguenay",,,https://www.daveduchesnedesigner.com/,,Google,"Saguenay, QC",Interior Designers,"info@daveduchesnedesigner.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Üpé Atelier | Designer intérieur d'espaces | Saguenay,,,https://www.upeatelier.ca/,,Google,"Saguenay, QC",Interior Designers,info@upeatelier.ca,0.0,M:0/T:0,Neutral
Hatch Design – Kelowna's premiere interior design firm,,,https://hatchdesign.ca/,,Google,"Kelowna, BC",Interior Designers,info@hatchdesign.ca,0.0,M:0/T:0,Neutral
Home Staging Kelowna | Interior Decorating | Center Stage,,,https://www.centerstagebc.com/,,Google,"Kelowna, BC",Interior Decorators,info@centerstagebc.com,0.0,M:0/T:0,Neutral
"Kelowna Interior Design, Decorating, Fresh Approach Designs",,,https://freshapproach.ca/,,Google,"Kelowna, BC",Interior Decorators,barbara@freshapproach.ca,0.0,M:0/T:0,Neutral
Interior Design Services in St.Catharines & Niagara,,,https://www.carolineloondesigns.com/,,Google,"St. Catharines, ON",Interior Designers,"caroline@carolineloondesigns.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Sprague Interiors - Elevated Interior Design for Life's Next ...,,,https://www.spragueinteriors.ca/,,Google,"St. Catharines, ON",Interior Designers,info@spragueinteriors.ca,0.0,M:0/T:0,Neutral
"Interior Decorator near Saint Catharines, ON",,,https://www.bbb.org/ca/on/saint-catharines/category/interior-decorator,,Google,"St. Catharines, ON",Interior Designers,"business@centraltx.bbb.org,info@fortworth.bbb.org,info@centraltx.bbb.org,natacha@mwco.bbb.org,info@mwco.bbb.org",0.0,M:0/T:0,Neutral
"Main and Company Interiors in St. Catharines, ON",,,https://mainandcompanyinteriors.com/contact-us/,,Google,"St. Catharines, ON",Interior Decorators,karen@mainandcompanyinteriors.com,0.0,M:0/T:0,Neutral
Robert Designs | Interior Design Firm Kingston,,,https://www.robertdesigns.ca/,,Google,"Kingston, ON",Interior Designers,"info@robertdesigns.ca,robert@robertdesigns.ca,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Design On Kingston - Benjamin Moore | Hunter Douglas ...,,,https://www.designonkingston.ca/,,Google,"Kingston, ON",Interior Designers,"contact@wix.com,info@designonkingston.ca,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:1/T:1,Neutral
Lisa Sandham Interior Designer – Interior Design Thunder Bay,,,https://lisasandham.com/,,Google,"Thunder Bay, ON",Interior Designers,info@lisasandham.com,0.0,M:0/T:0,Neutral
URBANUS Interiors|Brantford|Interior Design,,,https://www.urbanusinteriors.com/,,Google,"Brantford, ON",Interior Designers,"design@urbanusinteriors.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Bidgood: Interior Design Studio,,,https://www.bidgood.co/,,Google,"Victoria, BC",Interior Designers,"inquiries@bidgood.co,hello@bidgood.co",0.0,M:0/T:0,Neutral
Interior Concept Studio | interior designer,,,https://www.interiorconcept.ca/,,Google,"Moncton, NB",Interior Designers,"kaitlyn@interiorconcept.ca,info@interiorconcept.ca,patrick@interiorconcept.ca,sophie@interiorconcept.ca,emma@interiorconcept.ca,danelle@interiorconcept.ca",0.0,M:0/T:0,Neutral
Bureau Living Interiors | interior designer moncton | Moncton ...,,,https://www.bureauliving.ca/,,Google,"Moncton, NB",Interior Designers,"sylvieallain@bureauliving.ca,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
"Home | Moncton, Fredericton and Saint John Commercial ...",,,https://kimmurphydesign.ca/,,Google,"Moncton, NB",Interior Designers,kimdsign@nb.sympatico.ca,0.0,M:0/T:0,Neutral
