company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Luxus Innenarchitektur I Berlin,https://www.ed-interiordesign.com/en,Google,Innenarchitekt,"Berlin, Berlin, Deutschland","info@ed-interiordesign.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
"INNENARCHITEKTUR Berlin | SUSANNE KAISER, Interior ...",https://www.susanne-kaiser.com/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland",berlin@susanne-kaiser.com,0.0,M:0/T:0,Neutral
Sibel Huhn : Berlin Innenarchitekt & Interior Design,https://sibelhuhn.com/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland",concierge@sibelhuhn.com,0.0,M:0/T:0,Neutral
TINNAPPELMETZ - Interior Design in Berlin,https://www.tinnappelmetz.com/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland",hello@tinnappelmetz.com,0.0,M:0/T:0,Neutral
English - raumdeuter - Interiordesign in Berlin,https://raumdeuter.de/english/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland",contact@raumdeuter.de,0.0,M:0/T:0,Neutral
CARLO Design l Expertise In Interiors l Berlin & Mallorca,https://www.carlodesign.com/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland","palma@carlodesign.com,berlin@carlodesign.com,user@domain.com",0.0,M:0/T:0,Neutral
"Raumkonzepte, Architektur & Interior Design aus Berlin - mit ...",https://www.studiokristinengel.de/,Google,Innenarchitekt,"Berlin, Berlin, Deutschland",hallo@studiokristinengel.de,0.0,M:1/T:1,Neutral
Raumausstatter fröhlich wohnen - Nikolaiviertel Berlin,https://berlin-nikolaiviertel.com/shopping/raumausstatter-froehlich-wohnen/?lang=en,Google,Raumausstatter,"Berlin, Berlin, Deutschland","verein@berlin-nikolaiviertel.com,froehlich-wohnen@t-online.de,info@wbm.de,info@berlin-nikolaiviertel.com,info@vicamedia.com,info@stadtmuseum.de",0.0,M:0/T:0,Neutral
wohngefallen: Raumausstatter in Berlin,https://wohngefallen.de/,Google,Raumausstatter,"Berlin, Berlin, Deutschland",kontakt@wohngefallen.de,0.0,Connection Failed,Neutral
Raumausstattung Wanger & Pasternack - Polsterei,https://www.raumausstattung-wanger.de/,Google,Raumausstatter,"Berlin, Berlin, Deutschland",post@raumausstattung-wanger.de,0.0,M:1/T:1,Neutral
JOI-Design | Innenarchitektur | Interior Design,https://joi-design.com/,Google,Innenarchitekt,"Hamburg, Hamburg, Deutschland",,0.0,M:0/T:0,Neutral
https://www.soerensson.com/,https://www.soerensson.com/,Google,Innenarchitekt,"Hamburg, Hamburg, Deutschland","Soerengross@web.de,info@soerensson.com",0.0,M:0/T:0,Neutral
Cubik³ Innenarchitekten GmbH Hamburg,https://www.cubik3.de/,Google,Innenarchitekt,"Hamburg, Hamburg, Deutschland","buero@cubik3.de,benutzer@domain.com",0.0,M:0/T:0,Neutral
STUDIO BESAU MARGUERRE – INTERDISCIPLINARY ...,https://www.besau-marguerre.de/,Google,Innenarchitekt,"Hamburg, Hamburg, Deutschland","INFO@BESAU-MARGUERRE.DE,marcel@besau-marguerre.de,eva@besau-marguerre.de,info@besau-marguerre.de,MARCEL@BESAU-MARGUERRE.DE,EVA@BESAU-MARGUERRE.DE",0.0,M:0/T:0,Neutral
Raumausstatter Hamburg - 162 Adressen,https://www.hamburg.de/branchenbuch/hamburg/10238612/n0/,Google,Raumausstatter,"Hamburg, Hamburg, Deutschland","info@jalousie-welt.de,aida@aida-hamburg.de,info@aue-gmbh.de,info@altenburg-inneneinrichtung.de,mail@raumvisionen.net,info@pesa-wohngestaltung.de,info@helm-und-helm.de,ante.kristo@arcor.de,welcome@bellmann-interior.de,b.heye@bodoheye.de,info@garten-von-ehren.de",0.0,M:0/T:0,Neutral
Raumausstatter/in - BERUFENET - eServices - Bundesagentur für Arbeit,"https://web.arbeitsagentur.de/berufenet/beruf/4405#:~:text=Sie%20bereiten%20die%20Untergr%C3%BCnde%20vor,und%20f%C3%BChren%20erforderliche%20Reparaturen%20durch.",Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",,0.0,M:0/T:0,Neutral
Ausbildung Raumausstatter - Berufsbild & freie Plätze,"https://www.perspektiven-finden.com/berufe/ausbildung/r/raumausstatter#:~:text=Die%20Ausbildung%20dauert%203%20Jahre,und%20in%20der%20Berufsschule%20statt.",Google,Raumausstatter,"Hamburg, Hamburg, Deutschland",info@perspektiven-finden.com,0.0,M:0/T:0,Neutral
